Term	TermType	en	de	es	fr	it	ja-JP	ko	pl	pt-BR	ru	zh-Hans	zh-Hant
RelicType/_4007_EMBER_GUARD_DESC	RelicType	At the start of each level, 5 buff tiles with random effects will appear within your fire source's attack range.	Zu Beginn jedes Levels erscheinen 5 Stärkungsfelder innerhalb der Angriffsreichweite deiner Feuerquelle.	Al comienzo de cada nivel, aparecerán 5 casillas de mejora con efectos aleatorios dentro del alcance de ataque de tu hoguera.	Au début de chaque niveau, 5 cases bonus aux effets aléatoires apparaissent dans la zone d'attaque de votre Source.	All'inizio di ogni livello, appariranno 5 caselle di potenziamento con effetti casuali all'interno del raggio d'attacco della tua Fonte del fuoco.	各ステージ開始時、命の炎の攻撃範囲内にランダムな強化タイルが5つ出現する。	레벨 시작 시, 불의 원천의 공격 사거리 내에서 무작위 효과를 가진 5개의 버프 타일이 등장합니다.	Na początku każdego poziomu w zasięgu ataku twojego źródła ognia pojawi się 5 pól wzmacniających z losowymi efektami.	No início de cada fase, 5 casas de evolução com efeitos aleatórios aparecerão dentro do alcance de ataque da sua fonte de fogo.	В начале каждого уровня в радиусе атаки источника огня появляются 5 клеток усиления со случайными эффектами	每个关卡开始时，你的火源攻击范围内会有5个随机效果的强化格	每個關卡開始時，你的火源攻擊範圍內會有5個隨機效果的強化格
RelicType/_4008_TIME_SAVER	RelicType	Time-Saving Device	Zeit­spar­gerät	Ahorratiempos	Chronophage	Cronodispositivo	タイムセーバー	시간 절약 장치	Urządzenie Oszczędzające Czas	Dispositivo de Economia de Tempo	Устройство экономии времени	省时装置	省時裝置
RelicType/_4008_TIME_SAVER_DESC	RelicType	Preparation time between each wave is halved. Earn 3 gold coins for every 10 seconds remaining on the countdown timer at the start of a battle.	Die Vorbereitungszeit zwischen den Wellen halbiert sich. Pro 10 Sek., die zu Beginn eines Kampfes auf dem Countdown-Timer verbleiben, erhältst du 3 Gold.	El tiempo de preparación entre cada oleada se reduce a la mitad. Gana 3 monedas de oro por cada 10 segundos restantes en la cuenta atrás al comienzo de la batalla.	Le temps de préparation entre les vagues est réduit de moitié, mais chaque tranche de 10 s restant au chronomètre au début de la bataille vous rapporte 3 pièces.	Il tempo di preparazione tra un'ondata e l'altra viene dimezzato. Guadagna 3 monete d'oro ogni 10 secondi rimanenti sul timer di conto alla rovescia all'inizio di una battaglia.	各ウェーブの準備時間が半減する。バトル開始時、残り時間10秒につき3ゴールド貰える。	웨이브 사이 준비 시간이 절반이 됩니다. 전투 시작 시 카운트다운 타이머에 남은 10초마다 3골드를 획득합니다.	Czas przygotowań między kolejnymi falami zostaje skrócony o połowę. Za każde 10 sekund pozostałych na liczniku odliczającym na początku bitwy otrzymujesz 3 złote monety.	O tempo de preparação entre cada onda é reduzido pela metade. No início da batalha, receba 3 moedas de ouro para cada 10 segundos restantes no cronômetro de contagem regressiva.	Время подготовки между волнами уменьшается вдвое. За каждые 10 секунд, оставшиеся на таймере обратного отсчета в начале битвы, начисляется 3 золотые монеты.	每一波战斗间的准备时间减半，开战时，每10秒剩余的倒数时间会让你得到3金币	每一波戰鬥間的準備時間減半，開戰時，每10秒剩餘的倒數時間會讓你得到3金幣
RelicType/_4008_TIME_SAVER_NOTIFICATION	RelicType	You received [C1]{0}[C0] gold from [C1]{1}[C0].	Du hast [C1]{0}[C0] Gold durch „[C1]{1}[C0]“ erhalten.	Has recibido [C1]{0}[C0] de oro de [C1]{1}[C0].	Vous avez reçu [C1]{0}[C0] pièces du [C1]{1}[C0].	Hai ricevuto [C1]{0}[C0] oro da [C1]{1}[C0].	[C1]{1}[C0]の効果で\n[C1]{0}[C0]ゴールド獲得。	[C1]{1}[C0]에서 [C1]{0}[C0]골드를 받았습니다.	Otrzymałeś [C1]{0}[C0] złota od [C1]{1}[C0].	Você recebeu [C1]{0}[C0] de moedas de [C1]{1}[C0].	Вы получили [C1]{0}[C0] золота от [C1]{1}[C0].	你从[C1]{1}[C0]得到了[C1]{0}[C0]金币	你從[C1]{1}[C0]得到了[C1]{0}[C0]金幣
RelicType/_4009_FROST_BLAST	RelicType	Ice Storm	Eissturm	Tormenta helada	Tempête de glace	Tempesta di ghiaccio	アイスストーム	얼음 폭풍	Lodowa Burza	Tempestade de Gelo	Ледяная буря	冰冻风暴	冰凍風暴
RelicType/_4009_FROST_BLAST_DESC	RelicType	When you kill a monster affected by [CHILL], it releases frozen energy that spreads the same number of [CHILL] stacks to nearby monsters.	Wir ein von [CHILL] betroffenes Monster getötet, setzt es Eisenergie frei, die die gleiche Anzahl Stapel [CHILL] auf Monster in der Nähe überträgt.	Cuando matas a un monstruo afectado por [CHILL], libera energía de congelación que se extiende con la misma cantidad de acumulaciones de [CHILL] a los monstruos cercanos.	Quand vous tuez un monstre affecté par [CHILL], libère de l'énergie glacée qui propage le même nombre de cumuls de [CHILL] aux monstres proches.	Quando uccidi un mostro colpito da [CHILL], questo rilascia energia congelante che diffonde lo stesso numero di accumuli di [CHILL] ai mostri vicini.	[CHILL]効果を受けているモンスターを倒した際に冷気のエネルギーが広がり、付近にいるモンスターに同量の[CHILL]スタックを与える。	[CHILL] 효과의 영향을 받는 적을 처치하면, 동일한 수의 [CHILL] 중첩 효과를 가진 얼어붙은 에너지를 주변 적들에게 퍼뜨립니다.	Gdy zabijesz potwora dotkniętego efektem [CHILL], uwalnia on zamrożoną energię, która rozprzestrzenia taką samą liczbę ładunków [CHILL] na pobliskie potwory.	Quando um monstro afetado por [CHILL] é eliminado, ele libera energia congelante que espalha a mesma quantidade de acúmulos de [CHILL] para os monstros próximos.	При убийстве монстра под эффектом [CHILL] высвобождается замороженная энергия, которая накладывает на ближайших монстров такое же количество зарядов [CHILL].	当你杀死受到[CHILL]效果影响的怪物时会放出冰冻的能量，将相同的冰冷层数扩散到周围的怪物身上。	當你殺死受到[CHILL]效果影響的怪物時會放出冰凍的能量，將相同的冰冷層數擴散到周圍的怪物身上
RelicType/_4010_FROST_POISON	RelicType	Frost Venom	Frostgift	Veneno gélido	Venin glacé	Veleno gelido	フロスト･ポイズン	서리 맹독	Mroźny Jad	Veneno Gélido	Ледяной яд	冰霜毒液	冰霜毒液
RelicType/_4010_FROST_POISON_DESC	RelicType	Poisoned monsters gain 1 stack of [CHILL] per second.	Vergiftete Monster erhalten pro Sek. 1 Stapel [CHILL].	Los monstruos envenenados reciben 1 acumulación de [CHILL] por segundo.	Les monstres empoisonnés gagnent 1 cumul de [CHILL] par seconde.	I mostri avvelenati acquisiscono 1 accumulo di [CHILL] al secondo.	毒状態にあるモンスターに毎秒1の[CHILL]スタックを与える。	중독된 적들이 매초 [CHILL] 1중첩을 획득합니다.	Zatrute potwory zyskują 1 ładunek [CHILL] na sekundę.	Monstros envenenados recebem 1 acúmulo de [CHILL] por segundo.	Отравленные монстры получают 1 заряд [CHILL] в секунду.	当怪物处于中毒状态时，每秒堆叠1层[CHILL]效果。	當怪物處於中毒狀態時，每秒堆疊1層[CHILL]效果。
RelicType/_4011_FROST_FIRE	RelicType	Frostfire	Frostfeuer	Fuego escarchado	Feu glacé	Fuoco ghiacciato	フロストファイア	서리불꽃	Mroźny Ogień	Fogo Congelante	Ледяное пламя	霜火	霜火
RelicType/_4011_FROST_FIRE_DESC	RelicType	The attack speed of your [FIRE] towers is reduced by 20%, but their attacks now apply 1 stack of [CHILL] to enemies.	Das Angriffstempo deiner [FIRE]-Türme reduziert sich um 20 %, aber ihre Angriffe belegen Gegner nun mit 1 Stapel [CHILL].	La velocidad de ataque de tus torres de [FIRE] se reduce un 20 %, pero sus ataques ahora aplican 1 acumulación de [CHILL] a los enemigos.	La vitesse d'attaque de vos tours [FIRE] est réduite de 20 %, mais leurs attaques appliquent 1 cumul de [CHILL].	La velocità d’attacco delle tue torri [FIRE] è ridotta del 20%, ma i loro attacchi ora applicano 1 accumulo di [CHILL] ai nemici.	全ての[FIRE]属性タワーの攻撃速度が20%低下する代わりに、同属性タワーのダメージが1の[CHILL]スタックを与える。	[FIRE] 타워의 공격 속도가 20% 감소하지만, 이제 공격이 적들에게 [CHILL] 1중첩을 적용합니다.	Szybkość ataku twoich wież [FIRE] zostaje zmniejszona o 20%, ale ich ataki nakładają teraz na wrogów 1 ładunek [CHILL].	A velocidade de ataque das suas torres de [FIRE] é reduzida em 20%, mas seus ataques agora aplicam 1 acúmulo de [CHILL] aos inimigos.	Скорость атаки ваших башен [FIRE] снижена на 20%, но их атаки теперь накладывают 1 заряд [CHILL].	你的[FIRE]属性砲塔伤害降低20%，但火属性砲塔的伤害都会附加[CHILL]效果	你的[FIRE]屬性砲塔攻擊速度降低20%，但火屬性砲塔的傷害都會附加一層[CHILL]效果
RelicType/_4012_LIGHTNING_CHANNELER	RelicType	Lightning Conductor	Blitzableiter	Pararrayos	Conducteur de foudre	Conduttore di elettricità	避雷針	피뢰침	Piorunochron	Condutor de Raios	Проводник молнии	雷击引导器	雷擊引導器
RelicType/_4012_LIGHTNING_CHANNELER_DESC	RelicType	When your [ELECTRIC] towers hit an enemy, there is a 5% chance to release a chain of lightning bolts that hits up to 5 monsters, dealing 10 [ELECTRIC] damage and applying 10 [CHARGE].	Treffen deine [ELECTRIC]-Türme einen Gegner, lösen sie mit einer 5%igen Chance eine Kette von Blitzen aus, die bis zu 5 Monster trifft, 10 [ELECTRIC]-Schaden verursacht und sie mit 10 [CHARGE] belegt.	Cuando tus torres de [ELECTRIC] golpean a un enemigo, hay un 5 % de probabilidad de liberar una cada de relámpagos que golpean hasta a 5 monstruos, infligiendo 10 de daño de [ELECTRIC] y aplicando 10 de [CHARGE].	Quand vos tours [ELECTRIC] touchent un ennemi, 5 % de chances de déclencher un éclair qui touche jusqu'à 5 monstres, infligeant 10 pts de dégâts [ELECTRIC] et appliquant 10 [CHARGE].	Quando le tue torri [ELECTRIC] colpiscono un nemico, c’è il 5% di probabilità che rilascino una catena di fulmini che colpisce fino a 5 mostri, infliggendo 10 danni [ELECTRIC] e applicando 10 [CHARGE].	[ELECTRIC]属性のタワーが敵を攻撃した際、最大で5体のモンスターに連鎖し10の[ELECTRIC]ダメージと10の[CHARGE]を与える雷撃が5%の確率で放たれる。	[ELECTRIC] 타워가 적에게 적중하면, 5% 확률로 최대 5명의 적을 공격하는 연쇄 번개를 방출해 10 [ELECTRIC] 피해를 주고 10 [CHARGE] 효과를 적용합니다.	Gdy twoje wieże [ELECTRIC] trafią wroga, istnieje 5% szansy na wyzwolenie łańcucha błyskawic, który uderza w maksymalnie 5 potworów, zadając 10 punktów obrażeń [ELECTRIC] i nakładając 10 ładunków [CHARGE].	Quando suas torres de [ELECTRIC] atingem um inimigo, há 5% de chance de liberar uma cadeia de raios que atinge até 5 monstros, causando 10 de dano [ELECTRIC] e aplicando 10 de [CHARGE]	Когда ваши башни [ELECTRIC] поражают врага, с вероятностью 5% выпускается цепная молния, поражающая до 5 монстров, нанося 10 урона [ELECTRIC] и накладывая 10 [CHARGE].	当你的[ELECTRIC]属性炮塔攻击敌人时，有5%机率会释放出连锁闪电，对最多5个怪物造成10点[ELECTRIC]属性伤害，并增加10点[CHARGE]。	當你的[ELECTRIC]屬性砲塔擊中怪物時，有5%機率會釋放出連鎖閃電，對最多5個怪物造成10點[ELECTRIC]屬性傷害，並增加10點[CHARGE]
RelicType/_4013_RECKLESS_DESTRUCTION	RelicType	Explosive Demolition	Sprengung	Demolición explosiva	Démolition explosive	Demolizione esplosiva	爆破解体	폭발적인 철거	Wybuchowa Demolka	Demolição Explosiva	Взрывной демонтаж	猛爆性拆除	猛爆性拆除
RelicType/_4013_RECKLESS_DESTRUCTION_DESC	RelicType	When you sell a tower [C2]during battle[C0], it creates an explosion that deals damage to surrounding monsters, equal to [C2]10x the selling price[C0].	Verkaufst du [C2]während eines Kampfes[C0] einen Turm, erzeugt dies eine Explosion, die umliegenden Monstern Schaden in Höhe des [C2]10-fachen Verkaufspreises[C0] zufügt.	Cuando vendes una torre [C2]durante la batalla[C0], crea una explosión que inflige daño a los monstruos de alrededor. El daño es equivalente al [C2]precio de venta multiplicado por 10[C0].	Quand vous vendez une tour [C2]pendant la bataille[C0], crée une explosion qui inflige des dégâts aux monstres environnants, égaux à [C2]10x le prix de vente[C0].	Quando vendi una torre [C2]durante la battaglia[C0], questa provoca un’esplosione che infligge ai mostri circostanti un danno pari a [C2]10 volte il prezzo di vendita[C0].	[C2]バトル中に[C0]タワーを売却した際、辺りのモンスターに[C2]売却額×10[C0]のダメージを与える爆発を引き起こす。	[C2]전투 중[C0] 타워를 판매하면, 주변 적들에게 [C2]판매가의 10배[C0]에 해당하는 피해를 주는 폭발을 일으킵니다.	Kiedy sprzedajesz wieżę [C2]podczas bitwy[C0], powoduje to wybuch, który zadaje otaczającym potworom obrażenia równe [C2]10-krotności ceny sprzedaży[C0].	Ao vender uma torre [C2]durante a batalha[C0], ela cria uma explosão que causa dano aos monstros ao redor equivalente a [C2]10 vezes o seu valor de venda[C0].	Если продать башню [C2]прямо во время боя[C0], она взорвется и нанесет окружающим монстрам урон в размере [C2]10-кратной цены продажи[C0].	当你在[C2]战斗中[C0]卖出炮塔时，产生爆炸对周围的怪物造成[C2]10x卖出金币[C0]的伤害	當你在[C2]戰鬥中[C0]賣出砲塔時，產生爆炸對周圍的怪物造成[C2]10x賣出金幣[C0]的傷害
RelicType/_4014_CRAFTER_CHARM	RelicType	Craftsman's Luck Charm	Glücksbringer des Handwerkers	Amuleto del artesano	Porte-bonheur de l'artisan	Talismano dell'artigiano	職人のお守り	장인의 행운의 부적	Talizman Rzemieślnika	Amuleto da Sorte do Artesão	Талисман удачи ремесленника	工匠幸运符	工匠幸運符
RelicType/_4014_CRAFTER_CHARM_DESC	RelicType	When choosing a tower after clearing a stage, there will be 2 additional options to choose from.	Nach Abschluss eines Levels stehen bei der Turmauswahl 2 zusätzliche Optionen zur Verfügung.	Al elegir una torre tras superar una fase, tendrás 2 opciones adicionales entre las que elegir.	Quand vous choisissez une tour à la fin d'un niveau, vous avez 2 options supplémentaires.	Quando scegli una torre dopo aver completato un livello, avrai a disposizione 2 opzioni aggiuntive tra cui scegliere.	ステージクリア後に選べるタワーの選択肢が2つ増える。	스테이지 클리어 후 타워를 선택할 때, 선택할 수 있는 2개의 추가 선택지가 등장합니다.	Podczas wyboru wieży po ukończeniu etapu pojawią się 2 dodatkowe opcje do wyboru.	Ao escolher uma torre após concluir uma fase, haverá mais 2 opções para escolher.	После прохождения уровня при выборе башни появляются 2 дополнительных варианта.	过关选择炮台时，会有两个额外的选项	過關選擇砲塔時，會有兩個額外的選項
RelicType/_4015_MERCENARY_CONTRACT	RelicType	Mercenary Contract					傭兵契約					佣兵契约	傭兵契約
RelicType/_4015_MERCENARY_CONTRACT_DESC	RelicType	When you gain gold from defeating monsters, gain 1 extra gold for every 10 gold gained.					When you gain gold from defeating monsters, gain 1 extra gold for every 10 gold gained.					击败怪物时，你每获得10金币，就会额外获得1金币。	擊敗怪物時，你每獲得10金幣，就會額外獲得1金幣。
RelicType/_4016_ACADEMY_CERTIFICATE	RelicType	Academy Certificate	Akademie­zertifikat	Certificado de la Academia	Certificat de l'Académie	Certificato dell'Accademia	アカデミー卒業証書	아카데미 인증	Certyfikat Akademii	Certificado Acadêmico	Диплом академии	学院证书	學院證書
RelicType/_4016_ACADEMY_CERTIFICATE_DESC	RelicType	Reduces the cost of drawing cards by 20%.	Reduziert die Kosten für das Ziehen von Karten um 20 %.	Reduce un 20 % el coste de robar cartas.	Coût du tirage de cartes -20 %.	Riduce il costo di pesca delle carte del 20%.	カードのドローコストが20%減少する。	카드 뽑기 비용이 20% 감소합니다.	Zmniejsza koszt dobierania kart o 20%.	Reduz o custo de comprar cartas em 20%.	Снижает стоимость взятия карт на 20%.	抽牌的消耗金币降低20%	抽牌的消耗金幣降低20%
RelicType/_4017_ADVENTURER_LEGACY	RelicType	Adventurer's legacy	Vermächtnis des Abenteurers	Legado del aventurero	Héritage des aventuriers	Eredità dell'avventuriero	冒険者の遺産	모험가의 유산	Dziedzictwo Poszukiwacza Przygód	Legado do Aventureiro	Наследие искателя приключений	冒险者遗产	冒險者遺產
RelicType/_4017_ADVENTURER_LEGACY_DESC	RelicType	You receive an additional 20 gold coins at the start of each stage.	Zu Beginn jedes Levels erhältst zusätzlich 20 Gold.	Recibes 20 monedas de oro adicionales al comienzo de cada fase.	+20 pièces d'or au début de chaque niveau.	Ricevi 20 monete d'oro in più all'inizio di ogni livello.	各ステージ開始時に追加ゴールドが20貰える。	스테이지 시작 시 추가로 20골드를 받습니다.	Na początku każdego etapu otrzymujesz dodatkowe 20 złotych monet.	Você recebe 20 moedas de ouro adicionais no início de cada fase.	В начале каждого уровня дополнительно начисляется 20 золотых монет.	每个关卡开始时获得额外20金币	每個關卡開始時獲得額外20金幣
RelicType/_4018_STATIC_HOURGLASS	RelicType	Static Hourglass	Stehengebliebene Sanduhr	Reloj de arena estático	Sablier figé	Clessidra statica	落ちない砂時計	정적 모래시계	Statyczna Klepsydra	Ampulheta Estática	Статические песочные часы	静滞沙漏	靜滯沙漏
RelicType/_4018_STATIC_HOURGLASS_DESC	RelicType	Increases preparation time between each wave by 500%	Die Vorbereitungszeit zwischen den Wellen verlängert sich um 500 %.	Aumenta el tiempo de preparación entre cada oleada un 500 %.	Augmente de 500 % le temps de préparation entre chaque vague.	Aumenta il tempo di preparazione tra un'ondata e l'altra del 500%.	各ウェーブの準備時間が500%増加する。	웨이브 사이 준비 시간이 500% 증가합니다.	Zwiększa czas przygotowań między kolejnymi falami o 500%	Aumenta o tempo de preparação entre cada onda em 500%	Увеличить время подготовки между каждой волной на 500 %	每波攻击间的准备时间增加500%	每波攻擊間的準備時間增加500%
RelicType/_4019_MICROTRANSACTIONS	RelicType	Microtransactions	Mikro­transaktionen	Microtransacciones	Microtransactions	Microtransazioni	課金要素	소액 결제	Mikrotransakcje	Microtransações	Микросделки	小额付费	小額付費
RelicType/_4019_MICROTRANSACTIONS_DESC	RelicType	At the start of each stage, automatically spend 15 [EMBERSTONE] to receive 30 gold coins.	Zu Beginn jedes Levels werden automatisch 15 [EMBERSTONE]e gegen 30 Gold getauscht.	Al comienzo de cada fase, gasta automáticamente 15 [EMBERSTONE] para recibir 30 monedas de oro.	Au début de chaque niveau, dépense automatiquement 15 [EMBERSTONE] pour recevoir 30 pièces d'or.	All'inizio di ogni livello, spendi automaticamente 15 [EMBERSTONE] per ricevere 30 monete d'oro.	各ステージ開始時、自動で[EMBERSTONE]15個を30ゴールドと交換する。	스테이지 시작 시, 자동으로 15 [EMBERSTONE]을 사용해 30골드 코인을 받습니다.	Na początku każdego etapu automatycznie wydajesz 15 [EMBERSTONE], aby otrzymać 30 złotych monet.	No início de cada fase, gaste automaticamente 15 [EMBERSTONE] para receber 30 moedas de Ouro.	В начале каждого уровня автоматически расходует 15 [EMBERSTONE], давая взамен 30 золотых монет.	每个关卡开始时，如果你有超过15颗[EMBERSTONE]，将10颗[EMBERSTONE]转换为30金币	每個關卡開始時，如果你有超過15顆[EMBERSTONE]，將15顆[EMBERSTONE]轉換為30金幣
RelicType/_4020_RANDOM_TOWER_PRICE	RelicType	Golden Roulette	Goldenes Roulette	Ruleta dorada	Roulette dorée	Roulette d'oro	ゴールデン･ルーレット	황금 룰렛	Złota Ruletka	Roleta Dourada	Золотая рулетка	黄金轮盘	黃金輪盤
RelicType/_4020_RANDOM_TOWER_PRICE_DESC	RelicType	At the start of each round, tower prices fluctuate randomly between 50% and 150% of their original cost.	Zu Beginn jeder Runde schwanken die Turmpreise zufällig zwischen 50 % und 150 % ihrer normalen Kosten.	Al comienzo de cada ronda, los precios de las torres fluctúan aleatoriamente entre un 50 % y un 150 % del coste original.	Au début de chaque round, le prix des tours varie aléatoirement, entre 50 % et 150 % du coût original.	All'inizio di ogni round, i prezzi delle torri variano casualmente tra il 50% e il 150% del loro costo originale.	各ラウンド開始時、タワーの値段が50%～150%にランダムに変動する。	라운드 시작 시, 타워 가격이 무작위로 기존 가격의 50%에서 150% 사이로 변동됩니다.	Na początku każdej rundy ceny wież zmieniają się losowo w przedziale od 50% do 150% ich pierwotnego kosztu.	No início de cada rodada, o preço das torres varia aleatoriamente entre 50% e 150% do custo original.	В начале каждого раунда стоимость башен случайным образом изменяется от 50% до 150% исходной стоимости.	每回合开始时，炮台的价格随机在50%~150%之间浮动	每回合開始時，砲塔的價格隨機在50%~150%之間浮動
RelicType/_4021_EXPLOSIVE_VENOM	RelicType	Volatile Poison	Entzündliches Gift	Veneno volátil	Poison volatil	Veleno volatile	一触即発ポイズン	휘발성 독	Niestabilna Trucizna	Veneno Volátil	Летучий яд	易爆性毒药	易爆性毒藥
RelicType/_4021_EXPLOSIVE_VENOM_DESC	RelicType	Once every 5 seconds, when a [C5]poisoned[C0] monster takes [BURN] damage, it triggers an [EXPLOSION]. This consumes half of the poison damage and deals [C1]double[C0] [FIRE] damage, split evenly among all monsters within 2.5 tiles. If the explosion hits other poisoned monsters, it will trigger this effect in them as well.	Erleidet ein [C5]vergiftetes[C0] Monster [BURN]-Schaden, wird alle 5 Sek. eine [EXPLOSION] ausgelöst. Dies verbraucht die Hälfte des Giftschadens und verursacht [C1]doppelten[C0] [FIRE]-Schaden, gleichmäßig auf alle Monster innerhalb von 2,5 Feldern aufgeteilt. Trifft die Explosion andere vergiftete Monster, löst sie diesen Effekt auch bei ihnen aus.	Una vez cada 5 segundo, cuando un monstruo [C5]envenenado[C0] recibe daño de [BURN], activa una [EXPLOSION]. Esto consume la mitad del daño de veneno e inflige el [C1]doble[C0] de daño de [FIRE], y se divide de forma uniforme entre todos los monstruos a 2,5 casillas. Si la explosión golpea otros monstruos envenenados, también activará este efecto sobre ellos.	Toutes les 5 s, quand un monstre [C5]empoisonné[C0] subit des dégâts [BURN], déclenche une [EXPLOSION]. Consomme 50 % des dégâts de poison et inflige des dégâts [FIRE] [C1]doublés[C0], répartis équitablement entre tous les monstres à moins de 2,5 cases. Si l'explosion touche d'autres monstres empoisonnés, déclenche le même effet.	Una volta ogni 5 secondi, quando un mostro [C5]avvelenato[C0] subisce danni da [BURN], si innesca un’[EXPLOSION]. Consuma metà del danno da veleno e infligge [C1]il doppio[C0] dei danni da [FIRE], suddivisi equamente tra tutti i mostri entro 2,5 caselle. Se l’esplosione colpisce altri mostri avvelenati, innescherà questo effetto anche su di essi.	5秒に一回、[C5]毒状態[C0]にあるモンスターが[BURN]ダメージを受けると[EXPLOSION]を引き起こす。これにより毒ダメージを半分消費し、その[C1]2倍[C0]の[FIRE]ダメージを2.5タイル以内にいるモンスター全員に分配して与える。爆風がほかの毒状態にあるモンスターに当たった場合、そのモンスターもこの効果を発動する。	5초마다 한 번 [C5]중독[C0]된 적이 [BURN] 피해를 받으면, [EXPLOSION]을 발동합니다. 폭발은 중독 피해의 절반을 소모하고 2.5타일 안의 모든 적들에게 균등하게 분배되는 [C1]두 배[C0]의 [FIRE] 피해를 줍니다. 폭발이 다른 중독된 적에게 적중하면, 해당 적에게도 이 효과가 발동됩니다.	Raz na 5 sekund, gdy [C5]zatruty[C0] potwór otrzyma obrażenia [BURN], wyzwala [EXPLOSION]. Efekt ten pochłania połowę obrażeń od trucizny i zadaje [C1]podwójne[C0] obrażenia [FIRE], rozdzielone równomiernie między wszystkie potwory w promieniu 2,5 pola. Jeśli eksplozja trafi inne zatrute potwory, wyzwoli to u nich ten sam efekt.	Uma vez a cada 5 segundos, quando um monstro [C5]envenenado[C0] sofre dano de [BURN], ele provoca uma [EXPLOSION]. Isso consome metade do dano de veneno e causa o [C1]dobro[C0] de dano de [FIRE], dividido igualmente entre todos os monstros em um raio de 2,5 casas. Se a explosão atingir outros monstros envenenados, esse efeito também será acionado neles.	Раз в 5 секунд, когда [C5]отравленный[C0] монстр получает урон от [BURN], происходит [EXPLOSION]. При этом расходуется половина урона от яда и наносится [C1]двойной[C0] урон стихией [FIRE], поровну делящийся между всеми монстрами в радиусе 2,5 клетки. Если взрыв задевает других отравленных монстров, он вызывает этот же эффект.	每五秒一次，当[C5]中毒[C0]的怪物受到[BURN]效果时会引发[EXPLOSION]，消耗掉一半的中毒效果，并由2.5格内的怪物平分[C1]双倍[C0]的[FIRE]伤害。爆炸击中其他中毒的怪物时也会触发这个效果。	每五秒一次，當[C5]中毒[C0]的怪物受到[BURN]效果時會引發[EXPLOSION]，消耗掉一半的中毒效果，並由2.5格內的怪物平分[C1]雙倍[C0]的[FIRE]傷害。爆炸擊中其他中毒的怪物時也會觸發這個效果。
RelicType/_4022_RESONANT_VENOM	RelicType	Resonant Poison	Nachhallendes Gift	Réplica de veneno	Poison résonnant	Veleno risonante	共鳴ポイズン	공명하는 독	Trucizna Rezonansowa	Veneno Ressonante	Вторичный яд	共鸣毒药	共鳴毒藥
RelicType/_4022_RESONANT_VENOM_DESC	RelicType	Grants a 5% extra critical hit chance on [C5]poisoned[C0] monsters, and increases critical damage to 200%.	5 % höhere Chance auf kritische Treffer bei [C5]vergifteten[C0] Monstern. Erhöht den kritischen Schaden auf 200 %.	Otorga una probabilidad de golpe crítico adicional del 5 % contra monstruos [C5]envenenados[C0] y aumenta el daño crítico hasta 200 %.	+5 % de chances de coup crit. sur les monstres [C5]empoisonnés[C0] et dégâts crit. passés à 200 %.	Conferisce un’ulteriore probabilità del 5% di colpire criticamente i mostri [C5]avvelenati[C0] e aumenta il danno critico al 200%.	[C5]毒状態[C0]のモンスターに対するクリティカルヒットの確率が5%増加し、クリティカルダメージが200%に上昇する。	[C5]중독[C0]된 적에게 5% 추가 치명타 확률을 부여하고 치명타 피해량이 200% 증가합니다.	Zwiększa szansę na trafienie krytyczne o 5% w przypadku [C5]zatrutych[C0] potworów oraz podwaja obrażenia krytyczne do 200%.	Concede 5% de chance adicional de acerto crítico contra monstros [C5]envenenados[C0] e aumenta o dano crítico para 200%.	Дополнительный шанс критического удара по [C5]отравленным[C0] монстрам +5%, а критический урон увеличивается до 200%.	对[C5]中毒[C0]的怪物有额外5%的爆击率，并且让爆击时的伤害增加到200%	對[C5]中毒[C0]的怪物有額外5%的爆擊率，並且讓爆擊時的傷害增加到200%
RelicType/_4023_EMBER_GROWTH	RelicType	Flamekeeper's Manual	Handbuch des Flammen­wächters	Manual del protector de la llama	Manuel du gardien	Manuale del Custode della fiamma	炎守護者の手引書	불길지기의 지침서	Podręcznik Strażnika Płomienia	Manual do Guardião da Chama	Руководство стража пламени	护火手册	護火手冊
RelicType/_4023_EMBER_GROWTH_DESC	RelicType	Increases maximum health by 2 (includes healing) if no damage is taken while completing a stage. 	Erleidest du in einem Level keinen Schaden, erhöht sich die maximale Gesundheit um 2 (einschließlich Heilung).	Aumenta la salud máxima en 2 (incluida la curación) si no se recibe daño mientras se completa la fase.	Si aucun dégât n'a été subi à la fin d'un niveau, augmente la vie maximale de 2 (soins inclus).	Aumenta la salute massima di 2 (compresa la guarigione) se non si subiscono danni durante il completamento di un livello.	ノーダメージでステージをクリアした場合、最大HPが2増加する（回復込み）。	스테이지 완료 시 받은 피해가 없다면, 최대 체력이 2(치유 포함) 증가합니다.	Zwiększa maksymalną liczbę punktów zdrowia o 2 (wliczając leczenie), jeśli podczas ukończenia etapu nie otrzymasz żadnych obrażeń.	Se você concluir uma fase sem sofrer dano, sua Vida máxima aumenta em 2 (inclui a recuperação de Vida).	Если уровень пройден без получения урона, максимальный запас здоровья увеличивается на 2 (включая исцеление).	过关时，如果没有受到伤害，提高2最大生命值 (包含回复)	過關時，如果沒有受到傷害，提高2最大生命值 (包含回復)
RelicType/_4024_TOWER_PRICE_BALANCE	RelicType	Balanced Circuit	Symmetrischer Stromkreis	Circuito equilibrado	Circuit équilibré	Circuito bilanciato	平衡回路	균형 잡힌 회로	Zrównoważony Obwód	Circuito Balanceado	Сбалансированная цепь	平衡电路板	平衡電路板
